,hymn,name,is_bach,AverageMelodicIntervalFeature,MostCommonMelodicIntervalFeature,DistanceBetweenMostCommonMelodicIntervalsFeature,MostCommonMelodicIntervalPrevalenceFeature,NumberOfCommonMelodicIntervalsFeature,AmountOfArpeggiationFeature,ChromaticMotionFeature,MelodicThirdsFeature,MelodicTritonesFeature,DirectionOfMotionFeature,SizeOfMelodicArcsFeature,MostCommonPitchPrevalenceFeature,RelativeStrengthOfTopPitchesFeature,IntervalBetweenStrongestPitchesFeature,NumberOfCommonPitchesFeature,PitchVarietyFeature,PitchClassVarietyFeature,RangeFeature,MostCommonPitchFeature,ImportanceOfBassRegisterFeature,ImportanceOfHighRegisterFeature,BasicPitchHistogramFeature,PitchClassDistributionFeature,QualityFeature,NoteDensityFeature,AverageNoteDurationFeature,VariabilityOfNoteDurationFeature,MinimumNoteDurationFeature,AverageTimeBetweenAttacksFeature,AverageTimeBetweenAttacksForEachVoiceFeature,InitialTempoFeature,InitialTimeSignatureFeature,CompoundOrSimpleMeterFeature,TripleMeterFeature,QuintupleMeterFeature,ChangesOfMeterFeature,DurationFeature,AverageNumberOfIndependentVoicesFeature
0,<music21.stream.Score 0x7eff01c04a90>,4_hassler,0,3.3,0.0,2.0,0.4,6,0.5,0,0.0,0,0.4666666666666667,4,0.16393442622950818,0,5.0,3.0,22.0,9.0,33.0,62.0,0,0.03278688524590164,0,0.24590163934426232,0.0,4.1875,0.5149253731343284,0.13577168207955412,0,0.4838709677419355,0,120.0,4.0,0.0,0.0,0.0,0.0,16.0,0
1,<music21.stream.Score 0x7efeddcba460>,6_hassler,0,3.7901234567901234,2.0,1.0,0.2716049382716049,0,0.345679012345679,0,,0,0.4411764705882353,0,0.11560693641618497,0,,2.0,22.0,10.0,29.0,55.0,0,,0,0.21387283236994217,0.0,7.876923076923077,0.359375,0.12789613706050704,0,,0,120.0,4.0,0.0,0.0,0.0,0.0,16.25,0
2,<music21.stream.Score 0x7efedf6ee280>,11_doane,0,2.8181818181818183,1.0,1.0,0.36363636363636365,0,0.36363636363636365,0,,0,0.5227272727272727,0,0.219435736677116,0,,4.0,22.0,10.0,31.0,60.0,0,,0,0.3322884012539185,0.0,5.1875,0.39457831325301207,0.28680962665036813,0,,0,120.0,4.0,0.0,0.0,0.0,0.0,32.0,0
3,<music21.stream.Score 0x7efedde0c2e0>,5_hassler,0,3.022222222222222,2.0,3.0,0.26666666666666666,0,0.4222222222222222,0,,0,0.4752475247524752,0,0.13270142180094788,0,,3.0,28.0,11.0,32.0,60.0,0,,0,0.20379146919431282,0.0,5.375,0.4418604651162791,0.10561571002665669,0,,0,120.0,4.0,0.0,0.0,0.0,0.0,24.0,0
4,<music21.stream.Score 0x7efedd80ecd0>,stebbins1,0,0.4,0.0,2.0,0.8,0,0.8,0,,0,0.4925373134328358,0,0.15354330708661418,0,,4.0,21.0,10.0,28.0,48.0,0,,0,0.3425196850393701,0.0,5.4603174603174605,0.3643410852713178,0.25952354962146407,0,,0,120.0,6.0,1.0,0.0,0.0,0.0,23.625,0
5,<music21.stream.Score 0x7efee2c50160>,havergal5,0,0.0,0.0,0.0,1.0,0,1.0,0,,0,0.46938775510204084,0,0.15178571428571427,0,,4.0,22.0,9.0,34.0,63.0,0,,0,0.24107142857142855,0.0,2.375,0.8508771929824561,0.512689094603595,0,,0,120.0,3.0,0.0,1.0,0.0,0.0,24.0,0
6,<music21.stream.Score 0x7efee2c5c760>,excell6,0,0.0,0.0,0.0,0.0,0,0.0,0,,0,0.47058823529411764,0,0.19879518072289157,0,,5.0,18.0,8.0,31.0,55.0,0,,0,0.4036144578313253,0.0,2.59375,0.7710843373493976,0.45456986698586704,0,,0,120.0,8.0,0.0,0.0,0.0,0.0,32.0,0
7,<music21.stream.Score 0x7efedc858fa0>,stebbins5,0,0.25,0.0,2.0,0.875,0,0.875,0,,0,0.4431818181818182,0,0.18045112781954886,0,,3.0,24.0,12.0,31.0,57.0,0,,0,0.3308270676691729,0.0,2.8842105263157896,0.6970802919708029,0.48464624857098537,0,,0,120.0,6.0,1.0,0.0,0.0,0.0,47.5,0
8,<music21.stream.Score 0x7efee2c0fee0>,stebbins4,0,3.6666666666666665,2.0,2.0,0.3333333333333333,0,0.375,0,,0,0.5263157894736842,0,0.16666666666666666,0,,2.0,21.0,10.0,33.0,65.0,0,,0,0.24603174603174602,0.0,4.75,0.4967105263157895,0.17905738684548458,0,,0,120.0,2.0,0.0,0.0,0.0,0.0,16.0,0
9,<music21.stream.Score 0x7efee2bd6fa0>,mcgranahan5,0,1.6111111111111112,0.0,2.0,0.6666666666666666,0,0.8333333333333334,0,,0,0.5,0,0.14331210191082802,0,,3.0,21.0,8.0,33.0,62.0,0,,0,0.3152866242038217,0.0,4.024096385542169,0.5329341317365269,0.25926095188121545,0,,0,120.0,3.0,0.0,1.0,0.0,0.0,41.5,0
10,<music21.stream.Score 0x7efee2c3d0d0>,excell5,0,3.8025477707006368,0.0,2.0,0.2356687898089172,0,0.6178343949044586,0,,0,0.49375,0,0.12773722627737227,0,,5.0,19.0,7.0,33.0,50.0,0,,0,0.25182481751824815,0.0,5.442708333333332,0.5588516746411498,0.2928667447026002,0,,0,75.0,6.0,1.0,0.0,0.0,0.0,38.400000000000006,0
11,<music21.stream.Score 0x7efee2ad8a60>,mcgranahan12,0,1.5,0.0,2.0,0.5,0,0.5555555555555556,0,,0,0.3835616438356164,0,0.1523809523809524,0,,2.0,21.0,9.0,33.0,55.0,0,,0,0.2666666666666667,0.0,2.795138888888889,0.726708074534162,0.5359532278362983,0,,0,140.0,6.0,1.0,0.0,0.0,0.0,41.142857142857146,0
12,<music21.stream.Score 0x7efee2b9d100>,sankey1,0,1.4242424242424243,0.0,2.0,0.7272727272727273,0,0.7575757575757576,0,,0,0.47191011235955055,0,0.21014492753623187,0,,4.0,19.0,8.0,33.0,55.0,0,,0,0.37318840579710144,0.0,3.2291666666666665,0.7032258064516129,0.3095093630015738,0,,0,120.0,4.0,0.0,0.0,0.0,0.0,48.0,0
13,<music21.stream.Score 0x7efee2a35340>,8_doane,0,3.9696969696969697,0.0,2.0,0.22727272727272727,0,0.4090909090909091,0,,0,0.47586206896551725,0,0.18429003021148035,0,,3.0,23.0,9.0,33.0,62.0,0,,0,0.28700906344410876,0.0,4.103092783505154,0.5829145728643216,0.4248154168940291,0,,0,120.0,4.0,0.0,0.0,0.0,0.0,48.5,0
14,<music21.stream.Score 0x7efee29efd00>,sankey6,0,1.6666666666666667,0.0,4.0,0.6666666666666666,0,0.8666666666666667,0,,0,0.5054945054945055,0,0.15151515151515152,0,,4.0,20.0,9.0,33.0,61.0,0,,0,0.3164983164983165,0.0,3.305263157894737,0.6464968152866242,0.35584807865913654,0,,0,120.0,6.0,1.0,0.0,0.0,0.0,47.5,0
15,<music21.stream.Score 0x7efee2aaff40>,mcgranahan9,0,2.1176470588235294,0.0,2.0,0.47058823529411764,0,0.7058823529411765,0,,0,0.4642857142857143,0,0.12452830188679245,0,,3.0,22.0,9.0,31.0,56.0,0,,0,0.24528301886792453,0.0,4.733333333333333,0.4507042253521127,0.35072791084676325,0,,0,120.0,4.0,0.0,0.0,0.0,0.0,30.0,0
16,<music21.stream.Score 0x7efee2912040>,2_doane,0,0.0,0.0,0.0,1.0,0,1.0,0,,0,0.5274725274725275,0,0.16666666666666666,0,,5.0,17.0,8.0,28.0,65.0,0,,0,0.31746031746031744,0.0,5.291666666666667,0.3858267716535433,0.1914920320493693,0,,0,120.0,4.0,0.0,0.0,0.0,0.0,24.0,0
17,<music21.stream.Score 0x7efee289c640>,3_doane,0,2.6666666666666665,2.0,2.0,0.3333333333333333,0,0.6666666666666666,0,,0,0.41379310344827586,0,0.17153284671532848,0,,2.0,19.0,7.0,31.0,55.0,0,,0,0.30656934306569344,0.0,4.5,0.4583333333333333,0.30689416380533824,0,,0,120.0,4.0,0.0,0.0,0.0,0.0,32.0,0
18,<music21.stream.Score 0x7efee27eb070>,stebbins6,0,1.4210526315789473,0.0,5.0,0.6842105263157895,0,0.6842105263157895,0,,0,0.4788732394366197,0,0.2042042042042042,0,,4.0,18.0,9.0,26.0,65.0,0,,0,0.37537537537537535,0.0,3.6875,0.5451977401129944,0.31230343493967355,0,,0,120.0,6.0,1.0,0.0,0.0,0.0,48.0,0
19,<music21.stream.Score 0x7efee270b8e0>,havergal2,0,4.0,2.0,4.0,0.5,0,0.0,0,,0,0.43283582089552236,0,0.1130952380952381,0,,2.0,25.0,11.0,33.0,63.0,0,,0,0.19047619047619047,0.0,2.6875,0.7558139534883721,0.3943215106468179,0,,0,120.0,4.0,0.0,0.0,0.0,0.0,32.0,0
20,<music21.stream.Score 0x7efee2739b20>,stebbins9,0,3.5416666666666665,0.0,3.0,0.16666666666666666,0,0.5833333333333334,0,,0,0.4891304347826087,0,0.17218543046357615,0,,4.0,19.0,9.0,31.0,63.0,0,,0,0.3079470198675497,0.0,6.833333333333333,0.33384146341463417,0.16968729989071038,0,,0,120.0,6.0,1.0,0.0,0.0,0.0,24.0,0
21,<music21.stream.Score 0x7efee2694340>,lowry9,0,0.6470588235294118,0.0,2.0,0.8823529411764706,0,0.8823529411764706,0,,0,0.4791666666666667,0,0.16986301369863013,0,,2.0,19.0,7.0,31.0,63.0,0,,0,0.3013698630136986,0.0,6.0,0.3489583333333333,0.19921449478026332,0,,0,120.0,4.0,0.0,0.0,0.0,0.0,32.0,0
22,<music21.stream.Score 0x7efee25c9850>,sankey4,0,3.2666666666666666,0.0,7.0,0.3333333333333333,0,0.7333333333333333,0,,0,0.44545454545454544,0,0.1519756838905775,0,,4.0,24.0,10.0,32.0,65.0,0,,0,0.2857142857142857,0.0,4.675675675675675,0.4291907514450867,0.28518411764143997,0,,0,120.0,6.0,1.0,0.0,0.0,0.0,37.0,0
23,<music21.stream.Score 0x7efee2564970>,be_strong_in_god_hassler,0,3.890625,2.0,2.0,0.1875,0,0.59375,0,,0,0.42962962962962964,0,0.12222222222222222,0,,2.0,24.0,10.0,31.0,60.0,0,,0,0.23333333333333334,0.0,4.666666666666667,0.5029761904761905,0.2424271110973592,0,,0,120.0,4.0,0.0,0.0,0.0,0.0,36.0,0
24,<music21.stream.Score 0x7efee2516d90>,1_doane,0,2.5,2.0,1.0,0.5,0,0.5,0,,0,0.44,0,0.15544041450777202,0,,3.0,16.0,8.0,31.0,56.0,0,,0,0.3316062176165803,0.0,3.0625,0.6632653061224489,0.4937130776899161,0,,0,120.0,4.0,0.0,0.0,0.0,0.0,32.0,0
25,<music21.stream.Score 0x7efee2455d30>,16_doane,0,0.0,0.0,0.0,1.0,0,1.0,0,,0,0.46153846153846156,0,0.21673003802281368,0,,3.0,17.0,7.0,31.0,56.0,0,,0,0.3574144486692015,0.0,4.528925619834711,0.45255474452554745,0.3161308728277922,0,,0,120.0,6.0,1.0,0.0,0.0,0.0,30.25,0
26,<music21.stream.Score 0x7efee235a670>,reinagle1,0,3.327433628318584,2.0,1.0,0.2831858407079646,0,0.4336283185840708,0,,0,0.41237113402061853,0,0.1565217391304348,0,,2.0,22.0,8.0,34.0,62.0,0,,0,0.24347826086956523,0.0,7.1875,0.5565217391304348,0.2638775851833437,0,,0,120.0,4.0,0.0,0.0,0.0,0.0,16.0,0
27,<music21.stream.Score 0x7efee2880c70>,sankey14,0,2.2142857142857144,0.0,5.0,0.6428571428571429,0,0.6428571428571429,0,,0,0.5412844036697247,0,0.1933534743202417,0,,4.0,21.0,8.0,31.0,56.0,0,,0,0.3685800604229607,0.0,3.642105263157895,0.5397398843930635,0.40671682281209875,0,,0,120.0,4.0,0.0,0.0,0.0,0.0,47.5,0
28,<music21.stream.Score 0x7efee223cc10>,excell1,0,1.5714285714285714,0.0,2.0,0.2857142857142857,0,0.5714285714285714,0,,0,0.3125,0,0.20512820512820512,0,,4.0,11.0,7.0,17.0,67.0,0,,0,0.20512820512820512,0.0,2.1790540540540544,0.5178294573643409,0.3271795402151003,0,,0,100.0,2.0,0.0,0.0,0.0,0.0,19.73333333333333,0
29,<music21.stream.Score 0x7efee215f040>,how_did_my_heart_rejoice_to_hear_williams,0,1.6428571428571428,0.0,2.0,0.5714285714285714,0,0.6428571428571429,0,,0,0.4146341463414634,0,0.16964285714285715,0,,2.0,18.0,8.0,29.0,65.0,0,,0,0.30357142857142855,0.0,4.0,0.5625,0.18221724671391565,0,,0,120.0,4.0,0.0,0.0,0.0,0.0,16.0,0
30,<music21.stream.Score 0x7efee2302d30>,havergal4,0,0.0,0.0,0.0,1.0,0,1.0,0,,0,0.4444444444444444,0,0.21428571428571427,0,,3.0,16.0,7.0,29.0,56.0,0,,0,0.36607142857142855,0.0,2.4583333333333335,0.8389830508474576,0.39531877253188474,0,,0,120.0,3.0,0.0,1.0,0.0,0.0,24.0,0
31,<music21.stream.Score 0x7efee20fbe80>,mcgranahan2,0,2.4150943396226414,0.0,2.0,0.42641509433962266,0,0.6377358490566037,0,,0,0.42105263157894735,0,0.17228464419475656,0,,3.0,19.0,7.0,31.0,62.0,0,,0,0.3258426966292135,0.0,8.34375,0.4794007490636704,0.29832054323544804,0,,0,120.0,4.0,0.0,0.0,0.0,0.0,32.0,0
32,<music21.stream.Score 0x7efee1ff2cd0>,lowry10,0,1.3333333333333333,0.0,5.0,0.7142857142857143,0,0.7142857142857143,0,,0,0.5274725274725275,0,0.17142857142857143,0,,3.0,16.0,7.0,31.0,60.0,0,,0,0.3020408163265306,0.0,3.9703703703703703,0.5373134328358209,0.34891551425555106,0,,0,120.0,4.0,0.0,0.0,0.0,0.0,33.75,0
33,<music21.stream.Score 0x7efee213cc70>,13_doane,0,3.6052631578947367,2.0,2.0,0.2631578947368421,0,0.4473684210526316,0,,0,0.4765625,0,0.24666666666666667,0,,3.0,20.0,9.0,31.0,63.0,0,,0,0.39666666666666667,0.0,4.621621621621622,0.4934210526315789,0.3023613082495466,0,,0,120.0,3.0,0.0,1.0,0.0,0.0,37.0,0
34,<music21.stream.Score 0x7efee1df7610>,havergal1,0,2.2333333333333334,0.0,5.0,0.5,0,0.6666666666666666,0,,0,0.46601941747572817,0,0.12781954887218044,0,,3.0,23.0,10.0,31.0,62.0,0,,0,0.21428571428571427,0.0,3.1041666666666665,0.7231543624161074,0.4680576561288525,0,,0,120.0,4.0,0.0,0.0,0.0,0.0,48.0,0
